cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,efts_hits,status,reason,found_accession,found_form,found_date,found_url,found_confidence,found_matched_query,found_excerpt
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,0,not_found,no_efts_hits,,,,,0.0,,
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,0,not_found,no_efts_hits,,,,,0.0,,
1720671,,"HashiCorp, Inc.",2021-12-09,2022-12-09,0,not_found,no_efts_hits,,,,,0.0,,
1875091,NRSN,NeuroSense Therapeutics Ltd.,2021-12-09,2022-12-09,0,not_found,no_efts_hits,,,,,0.0,,
1084267,MOBQ,"Mobiquity Technologies, Inc.",2021-12-10,2022-12-10,0,not_found,no_efts_hits,,,,,0.0,,
1838716,GNTA,Genenta Science S.p.A.,2021-12-15,2022-12-15,0,not_found,no_efts_hits,,,,,0.0,,
1873835,IMMX,"Immix Biopharma, Inc.",2021-12-16,2022-12-16,0,not_found,no_efts_hits,,,,,0.0,,
1070050,APCX,AppTech Payments Corp.,2022-01-06,2023-01-06,0,not_found,no_efts_hits,,,,,0.0,,
1658551,AMLX,"Amylyx Pharmaceuticals, Inc.",2022-01-07,2023-01-07,0,not_found,no_efts_hits,,,,,0.0,,
1868734,,"CinCor Pharma, Inc.",2022-01-07,2023-01-07,0,not_found,no_efts_hits,,,,,0.0,,
1874875,HOUR,"Hour Loop, Inc",2022-01-07,2023-01-07,0,not_found,no_efts_hits,,,,,0.0,,
1861657,CNTN,"Canton Strategic Holdings, Inc.",2022-01-12,2023-01-12,0,not_found,no_efts_hits,,,,,0.0,,
1880661,TPG,TPG Inc.,2022-01-13,2023-01-13,0,not_found,no_efts_hits,,,,,0.0,,
1777319,CISO,"CISO Global, Inc.",2022-01-18,2023-01-18,0,not_found,no_efts_hits,,,,,0.0,,
1864943,FGI,FGI Industries Ltd.,2022-01-25,2023-01-25,0,not_found,no_efts_hits,,,,,0.0,,
1872964,MTEK,Maris Tech Ltd.,2022-02-02,2023-02-02,0,not_found,no_efts_hits,,,,,0.0,,
1786205,ACLX,"Arcellx, Inc.",2022-02-04,2023-02-04,0,not_found,no_efts_hits,,,,,0.0,,
1875558,NVCT,"Nuvectis Pharma, Inc.",2022-02-04,2023-02-04,0,not_found,no_efts_hits,,,,,0.0,,
1648087,AREB,AMERICAN REBEL HOLDINGS INC,2022-02-08,2023-02-08,0,not_found,no_efts_hits,,,,,0.0,,
1892322,HTCR,"HeartCore Enterprises, Inc.",2022-02-10,2023-02-10,0,not_found,no_efts_hits,,,,,0.0,,
1880613,DRCT,"Direct Digital Holdings, Inc.",2022-02-11,2023-02-11,0,not_found,no_efts_hits,,,,,0.0,,
1872812,,TC BioPharm (Holdings) plc,2022-02-11,2023-02-11,0,not_found,no_efts_hits,,,,,0.0,,
1482541,BNC,CEA Industries Inc.,2022-02-14,2023-02-14,0,not_found,no_efts_hits,,,,,0.0,,
1450704,VIVK,"Vivakor, Inc.",2022-02-15,2023-02-15,0,not_found,no_efts_hits,,,,,0.0,,
1835615,MHUAF,"Meihua International Medical Technologies Co., Ltd.",2022-02-16,2023-02-16,0,not_found,no_efts_hits,,,,,0.0,,
1851860,,"SMART FOR LIFE, INC.",2022-02-16,2023-02-16,0,not_found,no_efts_hits,,,,,0.0,,
1402328,SBFM,Sunshine Biopharma Inc.,2022-02-17,2023-02-17,0,not_found,no_efts_hits,,,,,0.0,,
1888014,AKAN,AKANDA CORP.,2022-03-15,2023-03-15,0,not_found,no_efts_hits,,,,,0.0,,
1880438,ANTX,"AN2 Therapeutics, Inc.",2022-03-25,2023-03-25,0,not_found,no_efts_hits,,,,,0.0,,
1894954,XPON,Expion360 Inc.,2022-04-01,2023-04-01,0,not_found,no_efts_hits,,,,,0.0,,
1737995,STSS,"SkyAI, Inc.",2022-04-14,2023-04-14,0,not_found,no_efts_hits,,,,,0.0,,
1635077,ACON,"Aclarion, Inc.",2022-04-22,2023-04-22,0,not_found,no_efts_hits,,,,,0.0,,
1905511,JCSE,JE Cleantech Holdings Ltd,2022-04-22,2023-04-22,0,not_found,no_efts_hits,,,,,0.0,,
1560293,TNON,"Tenon Medical, Inc.",2022-04-27,2023-04-27,0,not_found,no_efts_hits,,,,,0.0,,
1141284,ASNS,ACTELIS NETWORKS INC,2022-05-13,2023-05-13,0,not_found,no_efts_hits,,,,,0.0,,
1886799,,Bright Green Corp,2022-05-17,2023-05-17,0,not_found,no_efts_hits,,,,,0.0,,
1849296,OKYO,OKYO Pharma Ltd,2022-05-17,2023-05-17,0,not_found,no_efts_hits,,,,,0.0,,
1892274,GV,Visionary Holdings Inc.,2022-05-17,2023-05-17,0,not_found,no_efts_hits,,,,,0.0,,
923601,RIME,"Algorhythm Holdings, Inc.",2022-05-25,2023-05-25,0,not_found,no_efts_hits,,,,,0.0,,
1879848,PEVM,PHOENIX MOTOR INC.,2022-06-08,2023-06-08,0,not_found,no_efts_hits,,,,,0.0,,
1468492,HSCS,HeartSciences Inc.,2022-06-15,2023-06-15,0,not_found,no_efts_hits,,,,,0.0,,
1816319,LYTHF,Lytus Technologies Holdings PTV. Ltd.,2022-06-15,2023-06-15,0,not_found,no_efts_hits,,,,,0.0,,
1674440,YYAI,AIRWA INC.,2022-06-16,2023-06-16,0,not_found,no_efts_hits,,,,,0.0,,
1826376,GSUN,Golden Sun Technology Group Ltd.,2022-06-22,2023-06-22,0,not_found,no_efts_hits,,,,,0.0,,
1872302,NA,Nano Labs Ltd,2022-07-12,2023-07-12,0,not_found,no_efts_hits,,,,,0.0,,
1885827,VRAX,Virax Biolabs Group Ltd,2022-07-21,2023-07-21,0,not_found,no_efts_hits,,,,,0.0,,
1886362,MGAM,"Mobile Global Esports, Inc.",2022-07-29,2023-07-29,0,not_found,no_efts_hits,,,,,0.0,,
1748137,NEOV,NeoVolta Inc.,2022-07-29,2023-07-29,0,not_found,no_efts_hits,,,,,0.0,,
1913210,,Bruush Oral Care Inc.,2022-08-03,2023-08-03,0,not_found,no_efts_hits,,,,,0.0,,
1881472,MEGL,Magic Empire Global Ltd,2022-08-05,2023-08-05,0,not_found,no_efts_hits,,,,,0.0,,
1425355,SUIG,SUI Group Holdings Ltd.,2022-08-09,2023-08-09,0,not_found,no_efts_hits,,,,,0.0,,
1014763,AIMD,"Ainos, Inc.",2022-08-10,2023-08-10,0,not_found,no_efts_hits,,,,,0.0,,
1905956,TGL,TREASURE GLOBAL INC,2022-08-11,2023-08-11,0,not_found,no_efts_hits,,,,,0.0,,
1885408,NEXR,Nexera Technologies Ltd,2022-08-26,2023-08-26,0,not_found,no_efts_hits,,,,,0.0,,
1892480,,"Hempacco Co., Inc.",2022-08-30,2023-08-30,0,not_found,no_efts_hits,,,,,0.0,,
1650101,ATXG,ADDENTAX GROUP CORP.,2022-09-01,2023-09-01,0,not_found,no_efts_hits,,,,,0.0,,
1712762,BIAF,"bioAffinity Technologies, Inc.",2022-09-01,2023-09-01,0,not_found,no_efts_hits,,,,,0.0,,
1898604,VSTD,Vestand Inc.,2022-09-09,2023-09-09,0,not_found,no_efts_hits,,,,,0.0,,
1887673,WLDS,Wearable Devices Ltd.,2022-09-13,2023-09-13,0,not_found,no_efts_hits,,,,,0.0,,
1807887,LASE,Laser Photonics Corp,2022-09-30,2023-09-30,0,not_found,no_efts_hits,,,,,0.0,,
1921865,ASPI,ASP Isotopes Inc.,2022-11-10,2023-11-10,0,not_found,no_efts_hits,,,,,0.0,,
1892500,CMND,Clearmind Medicine Inc.,2022-11-16,2023-11-16,0,not_found,no_efts_hits,,,,,0.0,,
1884072,,Adamas One Corp.,2022-12-09,2023-12-09,0,not_found,no_efts_hits,,,,,0.0,,
1902794,,MGO Global Inc.,2023-01-13,2024-01-13,0,not_found,no_efts_hits,,,,,0.0,,
1519449,SKWD,"Skyward Specialty Insurance Group, Inc.",2023-01-13,2024-01-13,0,not_found,no_efts_hits,,,,,0.0,,
1939965,SLMT,Brera Holdings PLC,2023-01-27,2024-01-27,0,not_found,no_efts_hits,,,,,0.0,,
1920406,ASST,"Strive, Inc.",2023-02-03,2024-02-03,0,not_found,no_efts_hits,,,,,0.0,,
1888886,GPCR,Structure Therapeutics Inc.,2023-02-03,2024-02-03,0,not_found,no_efts_hits,,,,,0.0,,
1865127,,"Lucy Scientific Discovery, Inc.",2023-02-09,2024-02-09,0,not_found,no_efts_hits,,,,,0.0,,
1933414,MLYS,"Mineralys Therapeutics, Inc.",2023-02-10,2024-02-10,0,not_found,no_efts_hits,,,,,0.0,,
1829247,BFRG,"BullFrog AI Holdings, Inc.",2023-02-14,2024-02-14,0,not_found,no_efts_hits,,,,,0.0,,
1895618,GXAI,GAXOS.AI INC.,2023-02-15,2024-02-15,0,not_found,no_efts_hits,,,,,0.0,,
1611282,,"PishPosh, Inc.",2023-03-07,2024-03-07,0,not_found,no_efts_hits,,,,,0.0,,
1938046,MGRX,"MANGOCEUTICALS, INC.",2023-03-21,2024-03-21,0,not_found,no_efts_hits,,,,,0.0,,
1875496,,"YanGuFang International Group Co., Ltd",2023-03-28,2024-03-28,0,not_found,no_efts_hits,,,,,0.0,,
1948455,ISPR,Ispire Technology Inc.,2023-04-04,2024-04-04,0,not_found,no_efts_hits,,,,,0.0,,
1930179,ARBB,ARB IOT Group Ltd,2023-04-05,2024-04-05,0,not_found,no_efts_hits,,,,,0.0,,
1899658,WLGSF,"WANG & LEE GROUP, Inc.",2023-04-20,2024-04-20,0,not_found,no_efts_hits,,,,,0.0,,
1951067,CISS,C3is Inc.,2023-06-12,2024-06-12,0,not_found,no_efts_hits,,,,,0.0,,
1962481,BOF,BranchOut Food Inc.,2023-06-16,2024-06-16,0,not_found,no_efts_hits,,,,,0.0,,
1891856,GENK,"GEN Restaurant Group, Inc.",2023-06-28,2024-06-28,0,not_found,no_efts_hits,,,,,0.0,,
1823584,AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,2023-06-30,2024-06-30,0,not_found,no_efts_hits,,,,,0.0,,
1765850,AURE,Aurelion Inc.,2023-07-06,2024-07-06,0,not_found,no_efts_hits,,,,,0.0,,
1737523,BGLC,BioNexus Gene Lab Corp,2023-07-21,2024-07-21,0,not_found,no_efts_hits,,,,,0.0,,
1805526,DFDV,DeFi Development Corp.,2023-07-25,2024-07-25,0,not_found,no_efts_hits,,,,,0.0,,
1911545,GITS,"Global Interactive Technologies, Inc.",2023-08-01,2024-08-01,0,not_found,no_efts_hits,,,,,0.0,,
1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",2023-08-03,2024-08-03,0,not_found,no_efts_hits,,,,,0.0,,
1928581,GMEX,GMEX Robotics Corp,2023-08-08,2024-08-08,0,not_found,no_efts_hits,,,,,0.0,,
1843165,YHC,LQR House Inc.,2023-08-10,2024-08-10,0,not_found,no_efts_hits,,,,,0.0,,
1935418,FMST,Foremost Clean Energy Ltd.,2023-08-23,2024-08-23,0,not_found,no_efts_hits,,,,,0.0,,
1948697,SPPL,SIMPPLE LTD.,2023-09-13,2024-09-13,0,not_found,no_efts_hits,,,,,0.0,,
1825367,,"RayzeBio, Inc.",2023-09-15,2024-09-15,0,not_found,no_efts_hits,,,,,0.0,,
1963439,TURB,"Turbo Energy, S.A.",2023-09-22,2024-09-22,0,not_found,no_efts_hits,,,,,0.0,,
1922335,SYRA,Syra Health Corp,2023-09-29,2024-09-29,0,not_found,no_efts_hits,,,,,0.0,,
1713210,ATPC,Agape ATP Corp,2023-10-11,2024-10-11,0,not_found,no_efts_hits,,,,,0.0,,
1907108,LXEO,"Lexeo Therapeutics, Inc.",2023-11-03,2024-11-03,0,not_found,no_efts_hits,,,,,0.0,,
1963685,RR,RICHTECH ROBOTICS INC.,2023-11-17,2024-11-17,0,not_found,no_efts_hits,,,,,0.0,,
1840563,ELAB,PMGC Holdings Inc.,2023-11-21,2024-11-21,0,not_found,no_efts_hits,,,,,0.0,,
1961847,INHD,INNO HOLDINGS INC.,2023-12-04,2024-12-04,0,not_found,no_efts_hits,,,,,0.0,,
