cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,candidate_rank,candidate_url
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,12,https://mordorintelligence.com/investors
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,1,https://ir.volcon.com
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,2,https://ir.volcon.com/investors
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,3,https://ir.volcon.com/investor-relations
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,4,https://ir.volcon.com/governance
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,5,https://ir.volcon.com/corporate-governance
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,6,https://envisionreports.com
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,7,https://envisionreports.com/investors
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,8,https://envisionreports.com/investor-relations
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,9,https://envisionreports.com/governance
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,10,https://envisionreports.com/corporate-governance
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,11,https://malonebailey.com
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,12,https://malonebailey.com/investors
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,1,https://investors.isoplexis.com
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,2,https://investors.isoplexis.com/investors
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,3,https://investors.isoplexis.com/investor-relations
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,4,https://investors.isoplexis.com/governance
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,5,https://investors.isoplexis.com/corporate-governance
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,6,https://isoplexis.com
