cik,ticker,legal_name,exchange,market_tier,security_type,nasdaq_listing_date,listing_date_basis,listing_confidence,initial_matrix_due_date,in_scope_nasdaq,broad_cohort,narrow_matured_cohort,edge_case,exclusion_reason,confidence,review_reason,initial_matrix_status,initial_matrix_source,initial_matrix_confidence,notes
1869673,,Berenson Acquisition Corp. I,NYSE,,unit,2021-09-29,pricing_proxy,0.75,2022-09-29,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1803112,,TDCX Inc.,NYSE,,ADS,2021-10-01,pricing_proxy,0.75,2022-10-01,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1807046,OZ,"Belpointe PREP, LLC",NYSE,,common stock (unverified),2021-10-01,pricing_proxy,0.75,2022-10-01,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,security_type inferred from issuer type; no 8-A12B/listing record parsed; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1858327,,"dMY Technology Group, Inc. VI",NYSE,,unit,2021-10-04,pricing_proxy,0.75,2022-10-04,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1561032,NHP,"National Healthcare Properties, Inc.",Nasdaq,Global Market,preferred,2021-10-04,pricing_proxy,0.75,2022-10-04,0,0,0,0,fund_or_etf_etp,0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1854461,,Mount Rainier Acquisition Corp.,Nasdaq,,unit,2021-10-05,pricing_proxy,0.75,2022-10-05,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1850502,,Enphys Acquisition Corp.,NYSE,,unit,2021-10-07,pricing_proxy,0.75,2022-10-07,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1869198,LTH,"Life Time Group Holdings, Inc.",NYSE,,common stock,2021-10-08,pricing_proxy,0.75,2022-10-08,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1841144,,Hawks Acquisition Corp,NYSE,,unit,2021-10-12,pricing_proxy,0.75,2022-10-12,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1847577,,Learn CW Investment Corp,NYSE,,unit,2021-10-12,pricing_proxy,0.75,2022-10-12,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1729214,XRTX,XORTX Therapeutics Inc.,NYSE,Capital Market,common stock,2021-10-14,pricing_proxy,0.75,2022-10-14,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
