cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,date_basis,listing_confidence,issuer_type,country,market_tier,sic_description
1737995,STSS,"SkyAI, Inc.",2022-04-14,2023-04-14,first_trading,0.94,domestic,NY,,"Surgical & Medical Instruments & Apparatus"
1635077,ACON,"Aclarion, Inc.",2022-04-22,2023-04-22,first_trading,0.94,domestic,CO,"Capital Market","Services-Medical Laboratories"
1905511,JCSE,"JE Cleantech Holdings Ltd",2022-04-22,2023-04-22,first_trading,0.94,foreign_private_issuer,U0,"Capital Market","Miscellaneous Manufacturing Industries"
1560293,TNON,"Tenon Medical, Inc.",2022-04-27,2023-04-27,first_trading,0.94,domestic,CA,"Capital Market","Surgical & Medical Instruments & Apparatus"
1141284,ASNS,"ACTELIS NETWORKS INC",2022-05-13,2023-05-13,first_trading,0.94,domestic,CA,,"Communications Equipment, NEC"
1886799,,"Bright Green Corp",2022-05-17,2023-05-17,first_trading,0.88,domestic,FL,,"Medicinal Chemicals & Botanical Products"
1849296,OKYO,"OKYO Pharma Ltd",2022-05-17,2023-05-17,first_trading,0.94,foreign_private_issuer,X0,"Capital Market","Biological Products, (No Diagnostic Substances)"
1892274,GV,"Visionary Holdings Inc.",2022-05-17,2023-05-17,first_trading,0.88,foreign_private_issuer,A6,"Capital Market","Services-Educational Services"
923601,RIME,"Algorhythm Holdings, Inc.",2022-05-25,2023-05-25,pricing_proxy,0.75,domestic,FL,"Capital Market","Services-Computer Integrated Systems Design"
1879848,PEVM,"PHOENIX MOTOR INC.",2022-06-08,2023-06-08,first_trading,0.88,domestic,CA,,"Truck & Bus Bodies"
1468492,HSCS,"HeartSciences Inc.",2022-06-15,2023-06-15,first_trading,0.94,domestic,TX,"Capital Market","Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1816319,LYTHF,"Lytus Technologies Holdings PTV. Ltd.",2022-06-15,2023-06-15,first_trading,0.88,foreign_private_issuer,Unknown,,"Services-Computer Processing & Data Preparation"
1674440,YYAI,"AIRWA INC.",2022-06-16,2023-06-16,pricing_proxy,0.75,domestic,DE,"Capital Market","Services-Computer Programming, Data Processing, Etc."
1826376,GSUN,"Golden Sun Technology Group Ltd.",2022-06-22,2023-06-22,first_trading,0.94,foreign_private_issuer,China,"Capital Market","Services-Educational Services"
1872302,NA,"Nano Labs Ltd",2022-07-12,2023-07-12,first_trading,0.94,foreign_private_issuer,F4,"Global Market","Semiconductors & Related Devices"
1885827,VRAX,"Virax Biolabs Group Ltd",2022-07-21,2023-07-21,first_trading,0.94,foreign_private_issuer,X0,"Capital Market","In Vitro & In Vivo Diagnostic Substances"
1886362,MGAM,"Mobile Global Esports, Inc.",2022-07-29,2023-07-29,first_trading,0.94,domestic,CT,,"Services-Amusement & Recreation Services"
1748137,NEOV,"NeoVolta Inc.",2022-07-29,2023-07-29,pricing_proxy,0.75,domestic,CA,"Capital Market","Miscellaneous Electrical Machinery, Equipment & Supplies"
1913210,,"Bruush Oral Care Inc.",2022-08-03,2023-08-03,first_trading,0.88,foreign_private_issuer,A1,,"Dental Equipment & Supplies"
1881472,MEGL,"Magic Empire Global Ltd",2022-08-05,2023-08-05,first_trading,0.94,foreign_private_issuer,K3,"Capital Market","Finance Services"
1425355,SUIG,"SUI Group Holdings Ltd.",2022-08-09,2023-08-09,pricing_proxy,0.75,domestic,MN,"Capital Market","Finance Services"
1014763,AIMD,"Ainos, Inc.",2022-08-10,2023-08-10,pricing_proxy,0.75,domestic,TX,"Capital Market","Computer Peripheral Equipment, NEC"
1905956,TGL,"TREASURE GLOBAL INC",2022-08-11,2023-08-11,first_trading,0.94,domestic,NY,"Capital Market","Services-Business Services, NEC"
1885408,NEXR,"Nexera Technologies Ltd",2022-08-26,2023-08-26,first_trading,0.88,foreign_private_issuer,Israel,"Capital Market","Retail-Miscellaneous Retail"
1892480,,"Hempacco Co., Inc.",2022-08-30,2023-08-30,first_trading,0.88,domestic,CA,,Cigarettes
1650101,ATXG,"ADDENTAX GROUP CORP.",2022-09-01,2023-09-01,pricing_proxy,0.75,domestic,F4,"Capital Market","Services-Mailing, Reproduction, Commercial Art & Photography"
1712762,BIAF,"bioAffinity Technologies, Inc.",2022-09-01,2023-09-01,first_trading,0.94,domestic,TX,"Capital Market","Services-Commercial Physical & Biological Research"
1898604,VSTD,"Vestand Inc.",2022-09-09,2023-09-09,first_trading,0.88,domestic,CA,"Capital Market","Retail-Eating  Places"
1887673,WLDS,"Wearable Devices Ltd.",2022-09-13,2023-09-13,first_trading,0.94,foreign_private_issuer,L3,"Capital Market","Computer Communications Equipment"
1807887,LASE,"Laser Photonics Corp",2022-09-30,2023-09-30,first_trading,0.94,domestic,FL,"Capital Market","Miscellaneous Electrical Machinery, Equipment & Supplies"
1921865,ASPI,"ASP Isotopes Inc.",2022-11-10,2023-11-10,first_trading,0.94,domestic,TX,"Capital Market","Miscellaneous Chemical Products"
1892500,CMND,"Clearmind Medicine Inc.",2022-11-16,2023-11-16,pricing_proxy,0.75,foreign_private_issuer,Z4,"Capital Market","Pharmaceutical Preparations"
1884072,,"Adamas One Corp.",2022-12-09,2023-12-09,first_trading,0.88,domestic,AZ,,"Jewelry, Silverware & Plated Ware"
1902794,,"MGO Global Inc.",2023-01-13,2024-01-13,first_trading,0.88,domestic,FL,,"Apparel & Other Finishd Prods of  Fabrics & Similar Matl"
1519449,SKWD,"Skyward Specialty Insurance Group, Inc.",2023-01-13,2024-01-13,first_trading,0.94,domestic,TX,"Global Select","Fire, Marine & Casualty Insurance"
1939965,SLMT,"Brera Holdings PLC",2023-01-27,2024-01-27,first_trading,0.88,foreign_private_issuer,L2,"Capital Market","Services-Amusement & Recreation Services"
1920406,ASST,"Strive, Inc.",2023-02-03,2024-02-03,first_trading,0.94,domestic,TX,"Global Market","Finance Services"
1888886,GPCR,"Structure Therapeutics Inc.",2023-02-03,2024-02-03,first_trading,0.94,domestic,CA,"Global Market","Pharmaceutical Preparations"
1865127,,"Lucy Scientific Discovery, Inc.",2023-02-09,2024-02-09,first_trading,0.88,domestic,A1,,"Pharmaceutical Preparations"
1933414,MLYS,"Mineralys Therapeutics, Inc.",2023-02-10,2024-02-10,first_trading,0.94,domestic,PA,"Global Select","Pharmaceutical Preparations"
1829247,BFRG,"BullFrog AI Holdings, Inc.",2023-02-14,2024-02-14,first_trading,0.94,domestic,MD,"Capital Market","Pharmaceutical Preparations"
1895618,GXAI,"GAXOS.AI INC.",2023-02-15,2024-02-15,first_trading,0.88,domestic,NJ,"Capital Market","Services-Prepackaged Software"
1611282,,"PishPosh, Inc.",2023-03-07,2024-03-07,pricing_proxy,0.75,domestic,NJ,,"Retail-Nonstore Retailers"
1938046,MGRX,"MANGOCEUTICALS, INC.",2023-03-21,2024-03-21,first_trading,0.94,domestic,TX,"Capital Market","Services-Misc Health & Allied Services, NEC"
1875496,,"YanGuFang International Group Co., Ltd",2023-03-28,2024-03-28,first_trading,0.88,foreign_private_issuer,F4,"Capital Market","Food and Kindred Products"
1948455,ISPR,"Ispire Technology Inc.",2023-04-04,2024-04-04,first_trading,0.94,domestic,CA,"Capital Market",Cigarettes
1930179,ARBB,"ARB IOT Group Ltd",2023-04-05,2024-04-05,first_trading,0.94,foreign_private_issuer,Singapore,"Capital Market","Services-Computer Integrated Systems Design"
1899658,WLGSF,"WANG & LEE GROUP, Inc.",2023-04-20,2024-04-20,first_trading,0.88,foreign_private_issuer,K3,,"Construction - Special Trade Contractors"
1951067,CISS,"C3is Inc.",2023-06-12,2024-06-12,pricing_proxy,0.75,foreign_private_issuer,J3,"Capital Market","Deep Sea Foreign Transportation of  Freight"
1962481,BOF,"BranchOut Food Inc.",2023-06-16,2024-06-16,first_trading,0.94,domestic,OR,"Capital Market","Food and Kindred Products"
1891856,GENK,"GEN Restaurant Group, Inc.",2023-06-28,2024-06-28,first_trading,0.94,domestic,CA,"Global Market","Retail-Eating  Places"
1823584,AENT,"ALLIANCE ENTERTAINMENT HOLDING CORP",2023-06-30,2024-06-30,pricing_proxy,0.75,domestic,FL,"Capital Market","Wholesale-Durable Goods, NEC"
1765850,AURE,"Aurelion Inc.",2023-07-06,2024-07-06,first_trading,0.88,foreign_private_issuer,"Hong Kong","Capital Market","Finance Services"
1737523,BGLC,"BioNexus Gene Lab Corp",2023-07-21,2024-07-21,pricing_proxy,0.75,domestic,N8,"Capital Market","Services-Medical Laboratories"
1805526,DFDV,"DeFi Development Corp.",2023-07-25,2024-07-25,first_trading,0.88,domestic,FL,"Capital Market","Finance Services"
1911545,GITS,"Global Interactive Technologies, Inc.",2023-08-01,2024-08-01,first_trading,0.88,domestic,M5,"Capital Market","Services-Computer Programming, Data Processing, Etc."
1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",2023-08-03,2024-08-03,first_trading,0.94,domestic,FL,"Capital Market","Pharmaceutical Preparations"
1928581,GMEX,"GMEX Robotics Corp",2023-08-08,2024-08-08,first_trading,0.88,foreign_private_issuer,Australia,"Capital Market","Sporting & Athletic Goods, NEC"
1843165,YHC,"LQR House Inc.",2023-08-10,2024-08-10,first_trading,0.88,domestic,FL,"Capital Market",Beverages
1935418,FMST,"Foremost Clean Energy Ltd.",2023-08-23,2024-08-23,pricing_proxy,0.75,foreign_private_issuer,"British Columbia, Canada","Capital Market","Miscellaneous Metal Ores"
1948697,SPPL,"SIMPPLE LTD.",2023-09-13,2024-09-13,first_trading,0.94,foreign_private_issuer,Singapore,"Capital Market","Services-Facilities Support Management Services"
1825367,,"RayzeBio, Inc.",2023-09-15,2024-09-15,first_trading,0.88,domestic,CA,,"Pharmaceutical Preparations"
1963439,TURB,"Turbo Energy, S.A.",2023-09-22,2024-09-22,first_trading,0.94,foreign_private_issuer,Spain,"Capital Market","Miscellaneous Electrical Machinery, Equipment & Supplies"
1922335,SYRA,"Syra Health Corp",2023-09-29,2024-09-29,first_trading,0.94,domestic,IN,,"Services-Employment Agencies"
1713210,ATPC,"Agape ATP Corp",2023-10-11,2024-10-11,first_trading,0.94,domestic,N8,"Capital Market","Services-Health Services"
1907108,LXEO,"Lexeo Therapeutics, Inc.",2023-11-03,2024-11-03,first_trading,0.94,domestic,NY,"Global Market","Biological Products, (No Diagnostic Substances)"
1963685,RR,"RICHTECH ROBOTICS INC.",2023-11-17,2024-11-17,first_trading,0.94,domestic,NV,"Capital Market","General Industrial Machinery & Equipment, NEC"
1840563,ELAB,"PMGC Holdings Inc.",2023-11-21,2024-11-21,first_trading,0.94,domestic,CA,"Capital Market","Pharmaceutical Preparations"
1961847,INHD,"INNO HOLDINGS INC.",2023-12-04,2024-12-04,pricing_proxy,0.75,domestic,TX,"Capital Market","Steel Pipe & Tubes"
