cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,source_url,source_type,form_type,initial_matrix_confidence,observed_text_excerpt
1865494,IOBTQ,"IO Biotech, Inc.",2021-11-05,2022-11-05,published_on_time,2022-04-14,0001193125-22-105529,https://www.sec.gov/Archives/edgar/data/1865494/000119312522105529/d112845ddef14a.htm,edgar_filing,"DEF 14A",0.95,"ntinuing Directors 6 Recommendation of Our Board of Directors 9 CORPORATE GOVERNANCE 10 Director Independence 10 Leadership Structure of the Board of Directors 10 Board of Directors’ Role in Risk Oversight 10 Evaluations of the Board of Directors 10 Board Diversity Matrix 11 Meetings of the Board of Directors 11 Committees of the Board of Directors 11 Compensation Committee Interlocks and Insider Participation 13 Board Membership Criteria and Nomination Process 14 Changes in Board of Directors M"
1625278,NRDS,"NERDWALLET, INC.",2021-11-04,2022-11-04,published_on_time,2022-04-14,0001193125-22-104971,https://www.sec.gov/Archives/edgar/data/1625278/000119312522104971/d258585ddef14a.htm,edgar_filing,"DEF 14A",0.95,"MMARY A HIGHLY DIVERSE AND SKILLED BOARD We believe that our diverse Board has an appropriate mix of skills, expertise and experience to oversee critical matters of the Company and to represent the interests of our stockholders. Board and Committees Board Diversity Matrix (as of April 14, 2022) Total Number of Directors: 5 Part I: Gender Identity Male Female Non-Binary Not Disclosed Directors 3 2 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native Ameri"
1689375,TRDA,"Entrada Therapeutics, Inc.",2021-10-29,2022-10-29,published_on_time,2022-04-19,0001104659-22-047338,https://www.sec.gov/Archives/edgar/data/1689375/000110465922047338/tm2212715-1_def14a.htm,edgar_filing,"DEF 14A",0.95,"e, conflicts of interest, and other factors. The composition of our board of directors currently includes five individuals who are diverse under the Nasdaq Stock Market LLC (“Nasdaq”) listing rule regarding board diversity, as presented in the below Board Diversity Matrix. Under the Nasdaq listing rule, directors who self-identify as (i) female, (ii) an underrepresented minority, or (iii) LGBTQ+ are defined as being diverse. 8 TABLE OF CONTENTS Board Diversity Matrix ​ ​ ​ As of April 19, 2022 ​"
1868726,OLPX,"OLAPLEX HOLDINGS, INC.",2021-09-30,2022-09-30,published_on_time,2022-04-19,0001868726-22-000019,https://www.sec.gov/Archives/edgar/data/1868726/000186872622000019/olaplexincproxy.htm,edgar_filing,"DEF 14A",0.95,"e, gender and ethnicity/race, but we do not have a formal policy with respect to diversity. We also seek to have a Board that embodies a combination of skills, professional experience and diversity of viewpoints necessary to oversee our business. 20 Board Diversity Matrix (as of April 19, 2022) Total Number of Directors 11 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 9 2 - - Part II: Demographic Background African American or Black 1 - - - Alaskan Native or Na"
1782170,RELY,"Remitly Global, Inc.",2021-09-23,2022-09-23,published_on_time,2022-04-19,0001782170-22-000068,https://www.sec.gov/Archives/edgar/data/1782170/000178217022000068/relyproxystatement2022.htm,edgar_filing,"DEF 14A",0.85,"tive class is set forth above in Proposal No. 1. The table below provides certain information regarding the composition of our board of directors. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Rule 5605(f). Board Diversity Matrix (as of March 1, 2022) Board Size: Total Number of Directors Female Male Non-Binary Gender Undisclosed Gender: Number of Directors Based on Gender Identity 2 8 Number of Directors Who Identify in Any of the Categories Below: Afr"
1598981,SKYX,"SKYX Platforms Corp.",2022-02-10,2023-02-10,published_on_time,2022-04-19,0001493152-22-010422,https://www.sec.gov/Archives/edgar/data/1598981/000149315222010422/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"ime by the remaining directors. Diversity Two of our directors are women, representing approximately 25% of our Board of Directors. Mr. Peter is a U.S. Army veteran. Additional information regarding director diversity is included in the table below. Board Diversity Matrix (As of April 18, 2022) Total Number of Directors 8 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 6 Part II: Demographic Background African American or Black Alaskan Native or Native American"
1607939,UDMY,"Udemy, Inc.",2021-10-29,2022-10-29,published_on_time,2022-04-20,0001607939-22-000021,https://www.sec.gov/Archives/edgar/data/1607939/000160793922000021/udemyinc-definitiveproxyst.htm,edgar_filing,"DEF 14A",0.85,"responsibilities on behalf of our stockholders, while Mr. Coccari’s combined role enables strong leadership, creates clear accountability and enhances our ability to communicate our message and strategy clearly and consistently to stockholders. -8- Board Diversity Matrix as of April 20, 2022 Board Size: Total number of directors: 7 Gender: Male Female Non-Binary Number of directors based on gender identity 3 1 1 Number of directors who identify in any of the categories below: African American or"
1462056,BLZE,"Backblaze, Inc.",2021-11-11,2022-11-11,published_on_time,2022-04-21,0001193125-22-112978,https://www.sec.gov/Archives/edgar/data/1462056/000119312522112978/d363594ddef14a.htm,edgar_filing,"DEF 14A",0.95,"r removal. The classification of our Board may have the effect of delaying or preventing changes in our control or management. Board Diversity The following matrix presents the diverse composition of our Board as of the date of this proxy statement: Board Diversity Matrix Total Number of Directors 7 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 4 — — Part II: Demographic Background African American or Black 1 — — — Alaskan Native or Native American — — — — A"
1784567,,"Harbor Custom Development, Inc.",2021-10-05,2022-10-05,published_on_time,2022-04-21,0001493152-22-010645,https://www.sec.gov/Archives/edgar/data/1784567/000149315222010645/formdef14a.htm,edgar_filing,"DEF 14A",0.85,"out in this rule within the applicable transition period. We identified candidates for our board of directors who meet the board diversity requirement and have appointed one female independent director to our Board of Directors. The following is our Board Diversity Matrix as of April 20, 2022: Board Diversity Matrix Total Number of Directors 7 Part I: Gender Identity Female Male Directors 1 6 Number of Directors who Identify in Any of the Categories Below: Asian (other than South Asian) 0 1 Whit"
1482981,COCO,"Vita Coco Company, Inc.",2021-10-21,2022-10-21,published_on_time,2022-04-21,0001193125-22-113049,https://www.sec.gov/Archives/edgar/data/1482981/000119312522113049/d309576ddef14a.htm,edgar_filing,"DEF 14A",0.95,"ied Public Accountant. We believe Ms. Morreau’s extensive leadership experience as well as her particular knowledge and experience in finance and accounting as well as extensive beverage industry experience makes her qualified to serve on our Board. Board Diversity Matrix The table below reports the diversity of our Class I directors and nominee and the current Class II and III directors. Board Diversity Matrix Total Number of Directors and Nominees 9 Female Male Non-Binary Did Not Disclose Gend"
1862150,CING,"Cingulate Inc.",2021-12-08,2022-12-08,published_on_time,2022-04-22,0001493152-22-010723,https://www.sec.gov/Archives/edgar/data/1862150/000149315222010723/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"eutic areas, and his experience serving as our Chief Executive Officer, qualifies him to serve on our Board of Directors. 10 Board Membership Diversity In accordance with Nasdaq’s new Board Diversity Rules (Rule 5605(f) and Rule 5606), the following Board Diversity Matrix presents our Board diversity statistics. The minimum diversity objective for small reporting companies listed on the Nasdaq Capital Market on or after August 6, 2021 is two diverse directors by August 6, 2026 or two years from "
1452965,,"MINERVA SURGICAL INC",2021-10-22,2022-10-22,published_on_time,2022-04-22,0001193125-22-115153,https://www.sec.gov/Archives/edgar/data/1452965/000119312522115153/d301911ddef14a.htm,edgar_filing,"DEF 14A",0.95,"ng to identify and recruit highly qualified director candidates with diverse experiences, perspectives, and backgrounds to join our board of directors. The table below provides certain information regarding the composition of our board of directors. Board Diversity Matrix (as of March 31, 2022) Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 4 — — Part II: Demographic Background African American or Black 1 — — — Alaskan Native or Nat"
1844280,,"Thorne Healthtech, Inc.",2021-09-23,2022-09-23,published_on_time,2022-04-22,0001193125-22-115188,https://www.sec.gov/Archives/edgar/data/1844280/000119312522115188/d479811ddef14a.htm,edgar_filing,"DEF 14A",0.95,"lose why the board does not include) a certain number of “diverse” directors. The compliance period for this disclosure requirement began in 2022. Accordingly, a matrix disclosing the diversity breakdown of our board of directors is set forth below: Board Diversity Matrix (As of March 31, 2022) Total Number of Directors 7 Female Male Non- Binary Did Not Disclose Gender Part1: Gender Identity Directors 2 5 0 0 Part 2: Demographic Background African American or Black 0 0 0 0 Alaskan Native or Nati"
1866692,AMPL,"Amplitude, Inc.",2021-09-28,2022-09-28,published_on_time,2022-04-25,0001193125-22-117799,https://www.sec.gov/Archives/edgar/data/1866692/000119312522117799/d334704ddef14a.htm,edgar_filing,"DEF 14A",0.95,"g substantially the same criteria, as it follows for candidates submitted by others. 2022 Proxy Statement 19 Table of Contents Board Diversity The following table summarizes our current directors’ voluntary self-identified diversity characteristics. Board Diversity Matrix as of April 25, 2022 Total Number of Directors 10 Female Male Non-Binary Did Not Disclose Part I: Gender Identity Directors 3 7 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native Amer"
1455365,CGTX,"COGNITION THERAPEUTICS INC",2021-10-08,2022-10-08,published_on_time,2022-04-25,0001104659-22-049727,https://www.sec.gov/Archives/edgar/data/1455365/000110465922049727/tm2213252-1_def14a.htm,edgar_filing,"DEF 14A",0.95,"ment. Each term used above and in the matrix below has the meaning given to it in Nasdaq Listing Rule 5605(f). The matrix below provides certain highlights of the composition of our Board members based on self-identification: 4 TABLE OF CONTENTS ​ ​ Board Diversity Matrix (As of April 25, 2022) ​ ​ Total Number of Directors : 6 ​ ​ Part I: Gender Identity ​ ​ Female ​ ​ Male ​ ​ Non-Binary ​ ​ Did Not Disclose ​ ​ Directors ​ ​ 3 ​ ​ 3 ​ ​ — ​ ​ — ​ ​ Part II: Demographic Background ​ ​ African "
1817004,NXXT,"NEXTNRG, INC.",2021-09-15,2022-09-15,published_on_time,2022-04-25,0001493152-22-010860,https://www.sec.gov/Archives/edgar/data/1817004/000149315222010860/def14a.htm,edgar_filing,"DEF 14A",0.95,"other corporate board memberships. ● Compatibility. The Board candidate should be able to develop a good working relationship with other Board members and contribute to the Board’s working relationship with the senior management of the Company. The Board Diversity Matrix, below, provides certain highlights of the composition of our board members and nominees. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Rule 5605(f). Board Diversity Matrix (as of April"
1856608,,"Sovos Brands, Inc.",2021-09-23,2022-09-23,published_on_time,2022-04-25,0001558370-22-005891,https://www.sec.gov/Archives/edgar/data/1856608/000155837022005891/tmb-20220609xdef14a.htm,edgar_filing,"DEF 14A",0.85,"Governance key attributes of our board ​ ​ ​ INDEPENDENCE ​ AGE ​ ​ ​ ​ ​ ​ ​ ​ GENDER ​ DIVERSITY ​ ​ ​ ​ BOARD DIVERSITY The following table sets forth certain diversity statistics concerning the members of the Board of Directors: ​ HIDDEN_ROW ​ ​ Board Diversity Matrix (as of April 25, 2022) Total Number of Directors: 8 ​ ​ ​ Female Male Part I: Gender Identity ​ ​ Directors 3 5 Part II: Demographic Background ​ ​ Asian 2 - White 1 5 ​ ​ ​ ir.sovosbrands.com 2022 Proxy Statement / 13 ​ Table "
1745020,,"Theseus Pharmaceuticals, Inc.",2021-10-07,2022-10-07,published_on_time,2022-04-25,0001558370-22-005880,https://www.sec.gov/Archives/edgar/data/1745020/000155837022005880/tmb-20220610xdef14a.htm,edgar_filing,"DEF 14A",0.95,"our 2021 Equity Incentive Plan within certain grant guidelines specified in the equity awards committee charter and equity awards grant policy or as adopted from time to time by our Board of Directors or compensation committee. 14 Table of Contents Board Diversity Matrix The following table provides information in a standardized matrix pursuant to NASDAQ Rule 5606 setting forth: (i) the total number of Company board members and (ii) how those board members self-identify regarding gender, predefi"
1781730,TCBX,"Third Coast Bancshares, Inc.",2021-11-09,2022-11-09,published_on_time,2022-04-25,0001193125-22-117790,https://www.sec.gov/Archives/edgar/data/1781730/000119312522117790/d303316ddef14a.htm,edgar_filing,"DEF 14A",0.85,"NTS ABOUT THE ANNUAL MEETING 2 PROPOSAL 1. ELECTION OF DIRECTORS 7 Number of Directors; Term of Office 7 Nominees for Election 7 Election Procedures 8 Class A Directors with a Term Expiring in 2023 9 Class B Directors with a Term Expiring in 2024 10 Board Diversity Matrix 11 PROPOSAL 2. RATIFICATION OF THE APPOINTMENT OF INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM 12 BOARD AND COMMITTEE MATTERS 13 Board Meetings 13 Director Attendance at Annual Meeting 13 Board Composition 13 Director Independ"
1866757,BRLT,"Brilliant Earth Group, Inc.",2021-09-23,2022-09-23,published_on_time,2022-04-26,0001866757-22-000077,https://www.sec.gov/Archives/edgar/data/1866757/000186675722000077/brltdef14a.htm,edgar_filing,"DEF 14A",0.95,"sors or retain search firms to assist in the search for qualified candidates, or consider director candidates recommended by our stockholders. The Nominating and Corporate Governance Committee met once during the fiscal year ended December 31, 2021. BOARD DIVERSITY MATRIX (As of April 26, 2022) Board Size: Total Number of Directors: 7 Part I: Gender Identity Male Female Non-Binary Did not Disclose Gender Directors 2 4 _ 1 Part II: Demographic Background African American or Black 1 White 5 Did No"
1645569,,"DICE Therapeutics, Inc.",2021-09-15,2022-09-15,published_on_time,2022-04-26,0001564590-22-015687,https://www.sec.gov/Archives/edgar/data/1645569/000156459022015687/dice-def14a_20220607.htm,edgar_filing,"DEF 14A",0.95,"d its committees. While we have not adopted a specific policy regarding Board diversity, we value diversity on a company-wide basis. The following table sets forth the diversity statistics as self-identified by the members of our Board of Directors. Board Diversity Matrix (As of March 31, 2022) Total Number of Directors 8 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 5 — 2 Part II: Demographic Background Asian — 1 — — White 1 4 — — Did Not Disclose Demographi"
1412558,EVO,"Evotec SE",2021-11-04,2022-11-04,published_on_time,2022-04-26,0001104659-22-049929,https://www.sec.gov/Archives/edgar/data/1412558/000110465922049929/evo-20211231x20f.htm,edgar_filing,20-F,0.95,"s ensured by composing an international experienced Board with broad based skill sets rather than focusing specifically on to ethnic, gender or age diversity. The following chart provides additional diversity information about our Supervisory Board. Board Diversity Matrix (As of April 12, 2022) Country of Principal Executive Office Germany Foreign Private Issuer Yes Disclosure Prohibited Under Home Country Law No Total Number of Members 6 Female Male Non-Binary Did Not Disclose Gender Part I: Ge"
1840233,XLO,"Xilio Therapeutics, Inc.",2021-10-22,2022-10-22,published_on_time,2022-04-26,0001558370-22-005974,https://www.sec.gov/Archives/edgar/data/1840233/000155837022005974/tmb-20220609xdef14a.htm,edgar_filing,"DEF 14A",0.85,"tional origin, in evaluating nominees and directors. Our nominating and corporate governance committee’s and our board of directors’ priority in selecting board members is identification of persons who will further the interests of our stockholders. Board Diversity Matrix (as of April 15, 2022) Gender Identity Lynch Russo Bonstein Curran Xu Clancy Rossi Ross Total Male ✓ ​ ​ ​ ​ ​ ​ ✓ ​ ​ ​ ​ ​ ✓ ​ ​ ​ ​ ​ ✓ 4 Female ✓ ​ ​ ✓ ​ ​ ​ ​ ​ ✓ ​ ​ ​ ​ ​ ✓ ​ ​ ​ 4 Did Not Disclose N/A Demographic Backgr"
1874178,RIVN,"Rivian Automotive, Inc. / DE",2021-11-10,2022-11-10,published_on_time,2022-04-27,0001874178-22-000021,https://www.sec.gov/Archives/edgar/data/1874178/000187417822000021/rivian-2022proxystatement.htm,edgar_filing,"DEF 14A",0.95,"d relationships as they may relate to us and our management, including the beneficial ownership of our capital stock by each director. There are no family relationships among any of our directors or executive officers. Rivian 2022 Proxy Statement 21 Board of Directors Diversity Matrix (As of April 27, 2022) Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 4 0 0 Part II: Demographic Background African American or Black 1 0 0 0 Alaskan "
1851194,,"Ventyx Biosciences, Inc.",2021-10-21,2022-10-21,published_on_time,2022-04-27,0001193125-22-123613,https://www.sec.gov/Archives/edgar/data/1851194/000119312522123613/d313295ddef14a.htm,edgar_filing,"DEF 14A",0.95,"nd corporate governance committee has discretion to decide which individuals to recommend for nomination as directors and our board of directors has the final authority in determining the selection of director candidates for nomination to our board. Board Diversity Matrix The table below provides certain highlights of the composition of the members of our board of directors as of March 31, 2022. Each of the categories listed in the table below has the meaning set forth in Nasdaq Listing Rule 560"
1653909,BIRD,"Allbirds, Inc.",2021-11-03,2022-11-03,published_on_time,2022-04-28,0001653909-22-000029,https://www.sec.gov/Archives/edgar/data/1653909/000165390922000029/allbirds-proxystatement202.htm,edgar_filing,"DEF 14A",0.95,"versity of Pennsylvania. Mr. Zwillinger was selected to serve on our Board of Directors because of the perspective and experience he brings as our co-founder and Co-Chief Executive Officer as well as his management experience. 10 BOARD DIVERSITY The Board Diversity Matrix, below, provides the diversity statistics for our Board of Directors. Board Diversity Matrix (As of April 28, 2022) Total Number of Directors 8 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 3"
1667011,AIP,"Arteris, Inc.",2021-10-27,2022-10-27,published_on_time,2022-04-28,0001193125-22-127538,https://www.sec.gov/Archives/edgar/data/1667011/000119312522127538/d323776ddef14a.htm,edgar_filing,"DEF 14A",0.95,"fy as Asian, and one Board member self-identifies as Hispanic, Latino or Latinx. One director, Claudia Fan Munce, who self-identifies as female and Asian, and who will join the Board effective as of May 1, 2022, was not included in the below matrix. Board Diversity Matrix Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 6 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native American — — — — As"
1501796,AURA,"Aura Biosciences, Inc.",2021-10-29,2022-10-29,published_on_time,2022-04-28,0001193125-22-127614,https://www.sec.gov/Archives/edgar/data/1501796/000119312522127614/d309116ddef14a.htm,edgar_filing,"DEF 14A",0.95,"creating a board of directors with diversity, including diversity of expertise, experience, background and gender, and are committed to identifying, recruiting and advancing candidates offering such diversity in future searches. 7 Table of Contents Board Diversity Matrix As of April 28, 2022 Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 5 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native"
1858257,,"AvidXchange Holdings, Inc.",2021-10-13,2022-10-13,published_on_time,2022-04-28,0001193125-22-127975,https://www.sec.gov/Archives/edgar/data/1858257/000119312522127975/d337608ddef14a.htm,edgar_filing,"DEF 14A",0.95,"ctful measures we have adopted in an effort to break the glass ceiling for women in technology. The following chart provides the diversity statistics for our board of directors in accordance with Nasdaq Rule 5606, as self-disclosed by our directors. Board Diversity Matrix (As of April 28, 2022) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 7 0 0 Part II: Demographic Background African American or Black 0 1 0 0 Alaskan Native or Nat"
1588978,PRCT,"PROCEPT BioRobotics Corp",2021-09-15,2022-09-15,published_on_time,2022-04-28,0001628280-22-011112,https://www.sec.gov/Archives/edgar/data/1588978/000162828022011112/procept2022proxy.htm,edgar_filing,"DEF 14A",0.95,"e committed to sharing information related to our corporate responsibility and ESG related programs, priorities, goals, and performance and we intend to compile and publish a report on these topics within the next year. Director Skills and Diversity Board Diversity Matrix (As of April 28, 2022) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 6 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Nat"
1782223,PYXS,"Pyxis Oncology, Inc.",2021-10-08,2022-10-08,published_on_time,2022-04-28,0001193125-22-127710,https://www.sec.gov/Archives/edgar/data/1782223/000119312522127710/d107411ddef14a.htm,edgar_filing,"DEF 14A",0.95,"Executive Officers 8 Recommendation of Our Board of Directors 9 CORPORATE GOVERNANCE 10 Director Independence 10 Leadership Structure of the Board of Directors 10 Board of Directors’ Role in Risk Oversight 10 Evaluation of the Board of Directors 11 Board Diversity Matrix 11 Meetings of the Board of Directors 12 Committees of the Board of Directors 12 Board Membership Criteria and Nomination Process 14 Changes in Board of Directors Member Criteria 15 Term Limits and Retirement Age 15 Succession P"
1863127,TYRA,"Tyra Biosciences, Inc.",2021-09-15,2022-09-15,published_on_time,2022-04-28,0001193125-22-127537,https://www.sec.gov/Archives/edgar/data/1863127/000119312522127537/d293476ddef14a.htm,edgar_filing,"DEF 14A",0.95,"nition of “independent director” under Nasdaq qualification standards. The Nominating and Corporate Governance Committee also believes it is appropriate for our Chairman and Chief Executive Officer to serve as a member of our Board. 16 The following Board Diversity Matrix presents our Board diversity statistics in accordance with Nasdaq Rule 5606, as self-disclosed by our directors. Board Diversity Matrix (As of April 10, 2022) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose "
1827087,,"Vigil Neuroscience, Inc.",2022-01-07,2023-01-07,published_on_time,2022-04-28,0001193125-22-127499,https://www.sec.gov/Archives/edgar/data/1827087/000119312522127499/d338283ddef14a.htm,edgar_filing,"DEF 14A",0.95,"to serve on our board of directors. 11 Table of Contents Board Diversity Disclosure The following table provides certain self-identified personal characteristics of our Board members, in accordance with Rule 5605(f) of the Nasdaq listing standards: Board Diversity Matrix (As of April 28, 2022) Total Number of Directors 8 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 — — 5 Part II: Demographic Background African American or Black — — — — Alaskan Native or Nati"
1476840,EXFY,"Expensify, Inc.",2021-11-10,2022-11-10,published_on_time,2022-04-29,0001476840-22-000036,https://www.sec.gov/Archives/edgar/data/1476840/000147684022000036/def14a.htm,edgar_filing,"DEF 14A",0.85,"rs of the Board of Directors the communication is intended. Such communications generally will be forwarded to the intended recipients. However, our Secretary may, in his sole discretion, decline to forward any communications that are inappropriate. BOARD DIVERSITY MATRIX The table below provides certain highlights of the composition of our Board members and nominees as of April 29, 2022. Each of the categories listed in the table below has the meaning as it is used in Nasdaq Rule 5605(f). 10 Ta"
