cik,ticker,legal_name,continuation_group,continuation_status,cluster,pc1,pc2,predicted_probability
1462056,BLZE,"Backblaze, Inc.",continued,continued_other_narrative,1,2.280476850079764,-0.4538542025757663,0.8943127583688408
1784567,,"Harbor Custom Development, Inc.",not_continued,no_post_vacatur_relevant_filing,1,1.9140355737802026,0.7182363229972689,0.004200656812186274
1482981,COCO,"Vita Coco Company, Inc.",continued,continued_same_matrix,1,2.063969685885528,-4.286163055579417,0.9184146254376077
1862150,CING,Cingulate Inc.,continued,continued_other_narrative,1,2.2642141528179427,0.7306224255808347,0.7412932757047329
1452965,,MINERVA SURGICAL INC,not_continued,no_post_vacatur_relevant_filing,1,2.9464611680381463,1.7046928851534988,0.25336913987159415
1844280,,"Thorne Healthtech, Inc.",not_continued,no_post_vacatur_relevant_filing,1,3.089794915611749,1.4023001205226266,0.39766572342763196
1866692,AMPL,"Amplitude, Inc.",not_continued,not_continued_in_reviewed_filings,1,1.7901910547507243,-3.9718238673447024,0.8649470248367883
1455365,CGTX,COGNITION THERAPEUTICS INC,continued,continued_other_narrative,1,2.6079044870033363,2.100927202660037,0.9778105480839022
1817004,NXXT,"NEXTNRG, INC.",continued,continued_same_matrix,1,2.016769471140488,0.8087433356295911,0.9269853500120199
1856608,,"Sovos Brands, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.3245656069086644,-3.0580949931868333,0.2042972097654534
1745020,,"Theseus Pharmaceuticals, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.9846962062667175,1.747633859607853,0.24425828430172775
1781730,TCBX,"Third Coast Bancshares, Inc.",continued,continued_other_narrative,1,2.233669861981135,0.8559634434573004,0.9774357293480515
1866757,BRLT,"Brilliant Earth Group, Inc.",continued,continued_other_narrative,1,2.2533492029973115,0.062435453113897595,0.5077012023645903
1645569,,"DICE Therapeutics, Inc.",not_continued,no_post_vacatur_relevant_filing,1,3.077015447045221,1.71656101028394,0.13022395078177146
1412558,EVO,Evotec SE,continued,continued_same_matrix,0,-2.8568778519270754,-3.884995029514353,0.5571961315612121
1840233,XLO,"Xilio Therapeutics, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.479291505007011,0.8961991561300399,0.8767065845717233
1874178,RIVN,"Rivian Automotive, Inc. / DE",continued,continued_other_narrative,1,1.9824192290076816,-5.180240364494798,0.86191941997599
1851194,,"Ventyx Biosciences, Inc.",continued,continued_other_narrative,1,3.103512825665153,-0.26806749324787466,0.4151026302640315
1653909,BIRD,"Allbirds, Inc.",continued,continued_other_narrative,1,2.2954310803164524,-0.02843351726643855,0.9455197117076889
1667011,AIP,"Arteris, Inc.",continued,continued_other_narrative,1,2.456984964827155,-0.6641699139259,0.8020903235716075
1501796,AURA,"Aura Biosciences, Inc.",continued,continued_other_narrative,1,2.719640624799391,0.36151648728603103,0.6850839727288617
1858257,,"AvidXchange Holdings, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.184625463851558,-3.6043435044707,0.07764566521721405
1588978,PRCT,PROCEPT BioRobotics Corp,continued,continued_same_matrix,1,2.5349258357199917,-3.144630333703872,0.6707986417469924
1782223,PYXS,"Pyxis Oncology, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.7086321450140325,-0.3519570991734312,0.7028692594579591
1863127,TYRA,"Tyra Biosciences, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.8624417477741826,-0.28292909872207544,0.8610504041840303
1827087,,"Vigil Neuroscience, Inc.",continued,continued_other_narrative,1,2.614633514999921,2.051017452836565,0.511330429500815
1476840,EXFY,"Expensify, Inc.",continued,continued_other_narrative,1,2.3969574689543918,-3.038965888263632,0.9573419969997722
1780201,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",continued,continued_other_narrative,1,1.9041885252452495,0.6823060219584375,0.9361249088875047
1574094,RNXT,"RenovoRx, Inc.",continued,continued_other_narrative,1,2.499996888560801,0.9954251013826847,0.6796308805240243
1645070,,Sterling Check Corp.,not_continued,no_post_vacatur_relevant_filing,1,2.56107748707124,0.4443168399667883,0.21426455348333381
1866550,,"Thoughtworks Holding, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.2462263587753677,-3.5351608234053518,0.07220406468052389
1769804,,"Augmedix, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.3099986331989673,0.7591421314825455,0.158610951209624
1779372,BEAT,"HeartBeam, Inc.",continued,continued_other_narrative,1,2.586947700225371,-0.013840156709547635,0.9721244107225809
1861522,,KIDPIK CORP.,not_continued,no_post_vacatur_relevant_filing,1,2.4139133031387017,0.7421513871911922,0.2843500565965847
1799011,LUCD,Lucid Diagnostics Inc.,continued,continued_other_narrative,1,2.4813439347446944,1.6949453234508238,0.9220265791114316
1787740,VBIO,"Valion Bio, Inc.",continued,continued_other_narrative,1,2.4545629855541566,0.9460218481226634,0.8869747694726773
1851657,,"Vaxxinity, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.8461606695875856,0.8715785203384802,0.06616261931256723
1653482,GTLB,Gitlab Inc.,continued,continued_other_narrative,1,1.9961168883065765,-4.8851337565884165,0.7499623769210028
1850453,,Mynaric AG,not_continued,not_continued_in_reviewed_filings,0,-4.536661139732816,-0.1973157192956334,0.010156263582456748
