field,value,n,continued,not_continued,continued_share,continued_share_ci_low,continued_share_ci_high,ci_width,signal_confidence,diff_vs_overall_pp,smoothed_odds_ratio_vs_rest
sic_division,Retail,13,9,4,0.6923076923076923,0.4236888781333764,0.8731950283838191,0.4495061502504427,directional,1.4341590612777066,1.012954658694569
industry_theme,Retail / consumer,13,9,4,0.6923076923076923,0.4236888781333764,0.8731950283838191,0.4495061502504427,directional,1.4341590612777066,1.012954658694569
company_sector,Life sciences / medical,58,40,18,0.6896551724137931,0.5619669315326005,0.7937806558519432,0.23181372431934277,stronger descriptive signal,1.1689070718877925,1.0741984220245089
industry_theme,Life sciences / medical,57,39,18,0.6842105263157895,0.5551998120281706,0.7899587636831847,0.23475895165501415,stronger descriptive signal,0.6244424620874267,1.0348200961697895
listing_year,2022,41,28,13,0.6829268292682927,0.5301551434425414,0.8043556679468827,0.2742005245043413,stronger descriptive signal,0.496072757337751,1.0156156156156158
hq_group,China / Hong Kong,22,15,7,0.6818181818181818,0.47318222782839336,0.8363961264530752,0.3632138986246818,directional,0.38520801232665436,0.9892575039494471
listing_year,2021,75,51,24,0.68,0.5678872410148672,0.7745715624594409,0.20668432144457372,stronger descriptive signal,0.20338983050848247,1.0132139186609894
listing_year,2023,61,41,20,0.6721311475409836,0.5472157118133126,0.7766504481827393,0.22943473636942668,stronger descriptive signal,-0.5834954153931649,0.9549010584445466
company_sector,Finance / real estate,18,12,6,0.6666666666666666,0.4374906934425036,0.8372144563633714,0.39972376292086786,directional,-1.1299435028248594,0.912796880538816
sic_division,Finance/real estate,18,12,6,0.6666666666666666,0.4374906934425036,0.8372144563633714,0.39972376292086786,directional,-1.1299435028248594,0.912796880538816
initial_form_type,10-K,6,4,2,0.6666666666666666,0.29998832134152864,0.9032306674407831,0.6032423460992544,early signal,-1.1299435028248594,0.857510729613734
industry_theme,Other industries,62,41,21,0.6612903225806451,0.5371746717131097,0.7665846536981803,0.22940998198507057,stronger descriptive signal,-1.6675779114270095,0.8862074009068306
filer_category_simplified,"accelerated, smaller reporting, egc",26,17,9,0.6538461538461539,0.46220229009632996,0.8058798502714787,0.3436775601751487,directional,-2.411994784876137,0.863208746503941
market_tier_clean,Global Market,20,13,7,0.65,0.43285051021946463,0.8188104521320554,0.38595994191259075,directional,-2.79661016949152,0.8455813953488371
sic_division,Services,42,27,15,0.6428571428571429,0.4916608928707938,0.7701100749837315,0.27844918211293773,stronger descriptive signal,-3.510895883777232,0.8064516129032258
industry_theme,Finance / real estate,14,9,5,0.6428571428571429,0.3876400468214042,0.8365550926279727,0.4489150458065685,directional,-3.510895883777232,0.8132898491642886
company_sector,Manufacturing / industrials,13,8,5,0.6153846153846154,0.35522480972268555,0.8229055341876319,0.46768072446494635,early signal,-6.2581486310299805,0.7212121212121212
company_size_bucket,nan,100,61,39,0.61,0.5120283616749817,0.699832780680298,0.1878044190053163,stronger descriptive signal,-6.796610169491524,0.48409743644293163
geo_scope,Non-US / non-state HQ,58,35,23,0.603448275862069,0.4749298280744989,0.7191143104988886,0.24418448242438973,stronger descriptive signal,-7.451782583284627,0.6095558044046286
initial_form_type,20-F,56,32,24,0.5714285714285714,0.4413738892040555,0.6923123758690708,0.2509384866650153,stronger descriptive signal,-10.653753026634384,0.5021330566124755
company_sector,Services,14,8,6,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.46029223166730127,early signal,-10.653753026634384,0.5986324786324787
issuer_type,foreign_private_issuer,53,30,23,0.5660377358490566,0.4326511497976876,0.6904980930103964,0.25784694321270885,stronger descriptive signal,-11.192836584585864,0.49476901375337956
filer_category_simplified,"accelerated, egc",47,26,21,0.5531914893617021,0.41245213738758246,0.685892525250887,0.2734403878633045,stronger descriptive signal,-12.477461233321307,0.4760674295558016
sic_division,Transport/utilities,6,3,3,0.5,0.18761280689940868,0.8123871931005913,0.6247743862011825,early signal,-17.796610169491522,0.4638297872340425
hq_group,Asia-Pacific / Israel,20,9,11,0.45,0.25819502085709295,0.6579179916924003,0.39972297083530733,directional,-22.796610169491522,0.3445116007018912
market_tier_clean,Unknown market tier,35,15,20,0.42857142857142855,0.27984333081678914,0.5914287074102662,0.31158537659347707,directional,-24.93946731234867,0.26875505721881865
company_sector,Other / mixed,5,2,3,0.4,0.1176182311592533,0.769280067791163,0.6516618366319097,early signal,-27.79661016949152,0.3285111512959614
hq_group,Europe,5,2,3,0.4,0.1176182311592533,0.769280067791163,0.6516618366319097,early signal,-27.79661016949152,0.3285111512959614
